data_date,strike,ticker,asset,strike_date,option_type,bid,ask,ivm,volm,outs_int
2023-01-17,125,AAPL 2/17/23 C125,AAPL,2023-02-17,Call,12.89999962,13.05000019,36.94843292,519,12925
2023-01-17,130,AAPL 2/17/23 C130,AAPL,2023-02-17,Call,9.149999619,9.300000191,35.70054626,1121,26177
2023-01-17,135,AAPL 2/17/23 C135,AAPL,2023-02-17,Call,5.949999809,6.050000191,33.96485519,5842,43362
2023-01-17,140,AAPL 2/17/23 C140,AAPL,2023-02-17,Call,3.5,3.550000191,32.30115509,4864,37021
2023-01-17,145,AAPL 2/17/23 C145,AAPL,2023-02-17,Call,1.819999695,1.840000153,30.84683418,4276,30617
2023-01-17,3980,^GSPC 2/17/23 C3980,^GSPC,2023-02-17,Call,92.59999084,93.5,17.9120121,8,542
2023-01-17,3985,^GSPC 2/17/23 C3985,^GSPC,2023-02-17,Call,89.59999084,90.6000061,17.8347187,6,443
2023-01-17,3990,^GSPC 2/17/23 C3990,^GSPC,2023-02-17,Call,86.69999695,87.69999695,17.76280785,10,223
2023-01-17,3995,^GSPC 2/17/23 C3995,^GSPC,2023-02-17,Call,83.80000305,84.80000305,17.68024445,275,266
2023-01-17,4000,^GSPC 2/17/23 C4000,^GSPC,2023-02-17,Call,81.1000061,81.69999695,17.58694839,13673,55385
2023-01-17,57.5,KO 2/17/23 C57.5,KO,2023-02-17,Call,4.650000572,4.75,24.2707386,3,2446
2023-01-17,60,KO 2/17/23 C60,KO,2023-02-17,Call,2.550000191,2.670000076,20.96284676,64,8957
2023-01-17,62.5,KO 2/17/23 C62.5,KO,2023-02-17,Call,1.050000191,1.109999657,18.88957024,329,12290
2023-01-17,65,KO 2/17/23 C65,KO,2023-02-17,Call,0.280000031,0.300000012,17.51023293,796,30787
2023-01-17,67.5,KO 2/17/23 C67.5,KO,2023-02-17,Call,0.059999999,0.069999993,17.77422905,100,17645
2023-01-17,2,BBBY 2/17/23 C2,BBBY,2023-02-17,Call,2.159999847,2.440000534,409.5706787,304,6646
2023-01-17,3,BBBY 2/17/23 C3,BBBY,2023-02-17,Call,1.579999924,1.680000305,355.5421753,1320,20950
2023-01-17,4,BBBY 2/17/23 C4,BBBY,2023-02-17,Call,1.220000267,1.329999924,359.6121826,870,8412
2023-01-17,5,BBBY 2/17/23 C5,BBBY,2023-02-17,Call,1.050000191,1.119999886,375.5187378,2491,12318
2023-01-17,6,BBBY 2/17/23 C6,BBBY,2023-02-17,Call,0.810000002,0.939999998,369.1951599,772,3125
2023-01-17,125,AAPL 2/17/23 P125,AAPL,2023-02-17,Put,1.779999733,1.789999962,37.87327576,5111,47215
2023-01-17,130,AAPL 2/17/23 P130,AAPL,2023-02-17,Put,2.979999542,3,36.02393723,8359,41173
